subassembly,task,run,random_seed,total_requests,canceled_requests,incomplete_requests,completed_requests
blades,major repair,1,1,20,0,0,20
blades,major replacement,1,1,4,0,2,2
blades,minor repair,1,1,945,0,0,945
controls,major repair,1,1,118,0,0,118
controls,major replacement,1,1,5,0,4,1
controls,minor repair,1,1,637,0,0,637
electrical,major repair,1,1,29,0,0,29
electrical,major replacement,1,1,4,0,3,1
electrical,minor repair,1,1,776,0,0,776
gearbox,major repair,1,1,76,0,0,76
gearbox,major replacement,1,1,310,191,63,56
gearbox,minor repair,1,1,789,2,0,787
generator,major repair,1,1,652,0,0,652
generator,major replacement,1,1,105,26,41,38
generator,minor repair,1,1,944,0,0,944
heat_cool,major repair,1,1,5,0,0,5
heat_cool,minor repair,1,1,361,0,0,361
hub,major repair,1,1,69,0,0,69
hub,minor repair,1,1,325,0,0,325
main_bearing_failures,major repair,1,1,15,0,0,15
main_bearing_failures,major replacement,1,1,1,0,0,1
main_bearing_maintenance,minor scheduled repair,1,1,249,0,0,249
oil,major repair,1,1,12,0,0,12
oil,minor repair,1,1,816,0,0,816
other,major repair,1,1,107,0,0,107
other,major replacement,1,1,1,0,0,1
other,minor repair,1,1,1721,0,0,1721
pitch,major repair,1,1,343,0,0,343
pitch,major replacement,1,1,1,0,1,0
pitch,minor repair,1,1,1540,0,0,1540
power_supply,major repair,1,1,154,0,0,154
power_supply,major replacement,1,1,13,0,7,6
power_supply,minor repair,1,1,150,0,0,150
pump_motor,major repair,1,1,94,0,0,94
pump_motor,minor repair,1,1,503,0,1,502
relay,major repair,1,1,114,0,0,114
relay,major replacement,1,1,7,0,7,0
relay,minor repair,1,1,663,0,0,663
safety,major repair,1,1,8,0,0,8
safety,minor repair,1,1,681,0,0,681
sensors,major repair,1,1,132,0,0,132
sensors,minor repair,1,1,476,0,0,476
service_items,minor repair,1,1,227,0,0,227
tower_substructure,major repair,1,1,176,0,0,176
tower_substructure,minor repair,1,1,170,0,0,170
transformer,annual inspection,1,1,29,0,0,29
transformer,minor repair,1,1,7,0,0,7
xformer,major repair,1,1,5,0,0,5
xformer,minor repair,1,1,89,0,0,89
yaw,major repair,1,1,11,0,0,11
yaw,major replacement,1,1,5,1,1,3
yaw,minor repair,1,1,298,0,0,298
blades,major repair,2,2,19,0,0,19
blades,minor repair,2,2,856,0,0,856
controls,major repair,2,2,103,0,0,103
controls,major replacement,2,2,2,0,1,1
controls,minor repair,2,2,719,0,0,719
electrical,major repair,2,2,32,0,0,32
electrical,major replacement,2,2,8,0,4,4
electrical,minor repair,2,2,767,0,0,767
gearbox,major repair,2,2,68,0,0,68
gearbox,major replacement,2,2,295,165,72,58
gearbox,minor repair,2,2,731,0,0,731
generator,major repair,2,2,603,0,0,603
generator,major replacement,2,2,86,20,35,31
generator,minor repair,2,2,1017,0,1,1016
heat_cool,major repair,2,2,12,0,0,12
heat_cool,minor repair,2,2,389,0,0,389
hub,major repair,2,2,73,0,0,73
hub,major replacement,2,2,1,0,1,0
hub,minor repair,2,2,323,0,0,323
main_bearing_failures,major repair,2,2,17,0,0,17
main_bearing_maintenance,minor scheduled repair,2,2,259,0,0,259
oil,major repair,2,2,12,0,0,12
oil,minor repair,2,2,847,0,1,846
other,major repair,2,2,91,0,0,91
other,major replacement,2,2,3,0,1,2
other,minor repair,2,2,1612,0,1,1611
pitch,major repair,2,2,343,0,0,343
pitch,major replacement,2,2,1,0,1,0
pitch,minor repair,2,2,1507,0,0,1507
power_supply,major repair,2,2,169,0,0,169
power_supply,major replacement,2,2,10,0,5,5
power_supply,minor repair,2,2,136,0,0,136
pump_motor,major repair,2,2,80,0,0,80
pump_motor,minor repair,2,2,539,0,0,539
relay,major repair,2,2,102,0,0,102
relay,major replacement,2,2,5,0,2,3
relay,minor repair,2,2,667,0,1,666
safety,major repair,2,2,3,0,0,3
safety,minor repair,2,2,708,0,0,708
sensors,major repair,2,2,145,0,0,145
sensors,minor repair,2,2,485,0,0,485
service_items,major repair,2,2,1,0,0,1
service_items,minor repair,2,2,234,0,0,234
tower_substructure,major repair,2,2,189,0,0,189
tower_substructure,minor repair,2,2,175,0,0,175
transformer,annual inspection,2,2,29,0,0,29
transformer,minor repair,2,2,2,0,0,2
xformer,major repair,2,2,5,0,0,5
xformer,major replacement,2,2,3,0,2,1
xformer,minor repair,2,2,101,0,0,101
yaw,major repair,2,2,9,0,0,9
yaw,major replacement,2,2,3,0,2,1
yaw,minor repair,2,2,309,0,0,309
array cable,none,3,3,1,0,0,1
blades,major repair,3,3,17,0,0,17
blades,major replacement,3,3,1,0,0,1
blades,minor repair,3,3,865,0,0,865
controls,major repair,3,3,93,0,0,93
controls,major replacement,3,3,3,0,3,0
controls,minor repair,3,3,653,0,0,653
electrical,major repair,3,3,37,0,0,37
electrical,major replacement,3,3,6,0,1,5
electrical,minor repair,3,3,713,0,0,713
gearbox,major repair,3,3,70,0,0,70
gearbox,major replacement,3,3,303,180,68,55
gearbox,minor repair,3,3,724,1,0,723
generator,major repair,3,3,647,0,0,647
generator,major replacement,3,3,94,23,42,29
generator,minor repair,3,3,936,0,0,936
heat_cool,major repair,3,3,10,0,0,10
heat_cool,minor repair,3,3,366,0,0,366
hub,major repair,3,3,76,0,0,76
hub,major replacement,3,3,1,0,1,0
hub,minor repair,3,3,354,0,0,354
main_bearing_failures,major repair,3,3,20,0,0,20
main_bearing_failures,major replacement,3,3,2,0,0,2
main_bearing_maintenance,minor scheduled repair,3,3,255,0,0,255
oil,major repair,3,3,6,0,0,6
oil,minor repair,3,3,879,0,0,879
other,major repair,3,3,92,0,0,92
other,major replacement,3,3,2,0,0,2
other,minor repair,3,3,1744,0,0,1744
pitch,major repair,3,3,325,0,0,325
pitch,major replacement,3,3,1,0,1,0
pitch,minor repair,3,3,1564,0,0,1564
power_supply,major repair,3,3,151,0,0,151
power_supply,major replacement,3,3,4,0,3,1
power_supply,minor repair,3,3,151,0,0,151
pump_motor,major repair,3,3,78,0,0,78
pump_motor,minor repair,3,3,500,0,0,500
relay,major repair,3,3,102,0,0,102
relay,major replacement,3,3,6,0,5,1
relay,minor repair,3,3,649,0,0,649
safety,major repair,3,3,8,0,0,8
safety,minor repair,3,3,636,0,0,636
sensors,major repair,3,3,126,0,0,126
sensors,minor repair,3,3,480,0,0,480
service_items,minor repair,3,3,190,0,0,190
tower_substructure,major repair,3,3,150,0,0,150
tower_substructure,minor repair,3,3,182,0,0,182
transformer,annual inspection,3,3,29,0,0,29
transformer,minor repair,3,3,4,0,0,4
xformer,major repair,3,3,3,0,0,3
xformer,major replacement,3,3,1,0,0,1
xformer,minor repair,3,3,96,0,0,96
yaw,major repair,3,3,13,0,0,13
yaw,major replacement,3,3,3,0,1,2
yaw,minor repair,3,3,310,0,0,310
blades,major repair,4,4,26,0,0,26
blades,major replacement,4,4,1,0,1,0
blades,minor repair,4,4,903,0,0,903
controls,major repair,4,4,112,0,0,112
controls,major replacement,4,4,2,0,0,2
controls,minor repair,4,4,636,0,0,636
electrical,major repair,4,4,40,0,0,40
electrical,major replacement,4,4,5,0,3,2
electrical,minor repair,4,4,750,1,0,749
gearbox,major repair,4,4,58,0,0,58
gearbox,major replacement,4,4,279,145,74,60
gearbox,minor repair,4,4,802,1,0,801
generator,major repair,4,4,608,1,0,607
generator,major replacement,4,4,91,24,37,30
generator,minor repair,4,4,954,0,0,954
heat_cool,major repair,4,4,13,0,0,13
heat_cool,minor repair,4,4,370,0,0,370
hub,major repair,4,4,73,0,0,73
hub,major replacement,4,4,1,0,0,1
hub,minor repair,4,4,346,0,0,346
main_bearing_failures,major repair,4,4,14,0,0,14
main_bearing_failures,major replacement,4,4,1,0,0,1
main_bearing_maintenance,minor scheduled repair,4,4,248,0,0,248
oil,major repair,4,4,15,0,0,15
oil,minor repair,4,4,810,0,0,810
other,major repair,4,4,100,0,0,100
other,major replacement,4,4,1,0,1,0
other,minor repair,4,4,1682,0,0,1682
pitch,major repair,4,4,331,0,0,331
pitch,major replacement,4,4,2,0,1,1
pitch,minor repair,4,4,1573,0,1,1572
power_supply,major repair,4,4,184,0,0,184
power_supply,major replacement,4,4,8,0,5,3
power_supply,minor repair,4,4,151,0,0,151
pump_motor,major repair,4,4,93,0,0,93
pump_motor,minor repair,4,4,588,0,0,588
relay,major repair,4,4,112,0,0,112
relay,major replacement,4,4,3,0,0,3
relay,minor repair,4,4,617,0,0,617
safety,major repair,4,4,5,0,0,5
safety,minor repair,4,4,665,0,0,665
sensors,major repair,4,4,149,0,0,149
sensors,minor repair,4,4,462,0,0,462
service_items,major repair,4,4,1,0,0,1
service_items,minor repair,4,4,199,0,0,199
tower_substructure,major repair,4,4,171,0,0,171
tower_substructure,minor repair,4,4,195,0,0,195
transformer,annual inspection,4,4,29,0,0,29
transformer,minor repair,4,4,6,0,0,6
xformer,major repair,4,4,12,0,0,12
xformer,major replacement,4,4,3,0,2,1
xformer,minor repair,4,4,110,0,0,110
yaw,major repair,4,4,14,0,0,14
yaw,major replacement,4,4,1,0,0,1
yaw,minor repair,4,4,319,0,0,319
blades,major repair,5,5,17,0,0,17
blades,major replacement,5,5,2,0,2,0
blades,minor repair,5,5,957,0,0,957
controls,major repair,5,5,110,0,0,110
controls,major replacement,5,5,4,0,2,2
controls,minor repair,5,5,646,0,0,646
electrical,major repair,5,5,29,0,0,29
electrical,major replacement,5,5,6,0,4,2
electrical,minor repair,5,5,777,0,0,777
gearbox,major repair,5,5,64,0,0,64
gearbox,major replacement,5,5,262,141,69,52
gearbox,minor repair,5,5,747,1,0,746
generator,major repair,5,5,634,0,0,634
generator,major replacement,5,5,73,11,30,32
generator,minor repair,5,5,922,1,0,921
heat_cool,major repair,5,5,15,0,0,15
heat_cool,minor repair,5,5,356,0,0,356
hub,major repair,5,5,68,0,0,68
hub,major replacement,5,5,1,0,0,1
hub,minor repair,5,5,338,0,0,338
main_bearing_failures,major repair,5,5,15,0,0,15
main_bearing_failures,major replacement,5,5,1,0,0,1
main_bearing_maintenance,minor scheduled repair,5,5,250,0,0,250
oil,major repair,5,5,12,0,0,12
oil,minor repair,5,5,834,0,0,834
other,major repair,5,5,107,0,0,107
other,major replacement,5,5,1,0,0,1
other,minor repair,5,5,1680,0,0,1680
pitch,major repair,5,5,335,0,0,335
pitch,major replacement,5,5,5,0,3,2
pitch,minor repair,5,5,1557,0,0,1557
power_supply,major repair,5,5,171,0,0,171
power_supply,major replacement,5,5,12,0,9,3
power_supply,minor repair,5,5,142,0,0,142
pump_motor,major repair,5,5,96,0,0,96
pump_motor,minor repair,5,5,551,0,0,551
relay,major repair,5,5,106,0,0,106
relay,major replacement,5,5,6,0,2,4
relay,minor repair,5,5,634,0,0,634
safety,major repair,5,5,11,0,0,11
safety,minor repair,5,5,668,0,1,667
sensors,major repair,5,5,145,0,0,145
sensors,minor repair,5,5,489,0,0,489
service_items,major repair,5,5,2,0,0,2
service_items,minor repair,5,5,237,0,0,237
tower_substructure,major repair,5,5,161,0,0,161
tower_substructure,minor repair,5,5,145,0,0,145
transformer,annual inspection,5,5,29,0,0,29
transformer,minor repair,5,5,5,0,0,5
xformer,major repair,5,5,8,0,0,8
xformer,major replacement,5,5,5,0,3,2
xformer,minor repair,5,5,99,0,0,99
yaw,major repair,5,5,20,0,0,20
yaw,major replacement,5,5,3,0,3,0
yaw,minor repair,5,5,304,0,0,304
blades,major repair,6,6,16,0,0,16
blades,major replacement,6,6,1,0,1,0
blades,minor repair,6,6,890,0,0,890
controls,major repair,6,6,113,0,0,113
controls,major replacement,6,6,1,0,1,0
controls,minor repair,6,6,657,0,0,657
electrical,major repair,6,6,26,0,0,26
electrical,major replacement,6,6,3,0,2,1
electrical,minor repair,6,6,689,0,0,689
gearbox,major repair,6,6,71,1,0,70
gearbox,major replacement,6,6,318,189,76,53
gearbox,minor repair,6,6,772,0,0,772
generator,major repair,6,6,667,0,0,667
generator,major replacement,6,6,85,24,37,24
generator,minor repair,6,6,957,0,0,957
heat_cool,major repair,6,6,17,0,0,17
heat_cool,minor repair,6,6,371,0,0,371
hub,major repair,6,6,69,0,0,69
hub,major replacement,6,6,3,0,1,2
hub,minor repair,6,6,340,0,0,340
main_bearing_failures,major repair,6,6,16,0,0,16
main_bearing_maintenance,minor scheduled repair,6,6,251,0,0,251
oil,major repair,6,6,16,0,0,16
oil,minor repair,6,6,812,0,0,812
other,major repair,6,6,70,0,0,70
other,major replacement,6,6,3,0,0,3
other,minor repair,6,6,1691,0,0,1691
pitch,major repair,6,6,305,0,0,305
pitch,major replacement,6,6,1,0,0,1
pitch,minor repair,6,6,1561,0,0,1561
power_supply,major repair,6,6,168,0,0,168
power_supply,major replacement,6,6,13,0,2,11
power_supply,minor repair,6,6,143,0,0,143
pump_motor,major repair,6,6,78,0,0,78
pump_motor,minor repair,6,6,541,0,0,541
relay,major repair,6,6,117,0,0,117
relay,major replacement,6,6,3,0,1,2
relay,minor repair,6,6,637,0,0,637
safety,major repair,6,6,9,0,0,9
safety,minor repair,6,6,666,0,0,666
sensors,major repair,6,6,149,0,0,149
sensors,minor repair,6,6,452,0,0,452
service_items,major repair,6,6,1,0,0,1
service_items,minor repair,6,6,244,0,0,244
tower_substructure,major repair,6,6,179,0,0,179
tower_substructure,minor repair,6,6,194,0,0,194
transformer,annual inspection,6,6,29,0,0,29
transformer,minor repair,6,6,6,0,0,6
xformer,major repair,6,6,10,0,0,10
xformer,minor repair,6,6,115,0,0,115
yaw,major repair,6,6,17,0,0,17
yaw,major replacement,6,6,2,0,0,2
yaw,minor repair,6,6,300,0,0,300
blades,major repair,7,7,15,0,0,15
blades,major replacement,7,7,3,0,2,1
